ime,rating,mesto,drzava,age,total_games,winrate_win,winrate_draw,winrate_loss
David Howell,2650,105,England,32,2137,48,31,21
Luke McShane,2649,108,England,39,1703,44,34,22
Ferenc Berkes,2649,107,Hungary,37,1826,41,45,14
Rasmus Svane,2649,107,Germany,25,1804,47,31,22
Praggnanandhaa Rameshbabu,2648,110,India,17,1040,45,31,24
Dmitrij Kollars,2648,110,Germany,23,1111,49,33,18
Markus Ragger,2647,112,Austria,35,1824,38,47,15
Alan Pichot,2647,112,Argentina,24,1346,46,27,27
Jorge Cori,2645,114,Peru,27,1023,52,27,21
Nguyen Ngoc Truong Son,2645,114,Vietnam,33,1269,41,44,15
Alexander Ipatov,2644,116,Turkey,,,,,
Karen H Grigoryan,2643,117,Armenia,28,1218,54,30,16
Ruslan Ponomariov,2642,119,Ukraine,39,2293,35,46,19
Liviu-Dieter Nisipeanu,2642,119,Germany,46,2275,38,51,11
Kirill Shevchenko,2642,118,Ukraine,20,792,43,36,21
Yuriy Kuzubov,2642,118,Ukraine,33,1818,44,39,17
Maksim Chigaev,2641,122,Russia,26,2087,49,31,20
Pouya Idani,2641,122,Iran,28,924,44,38,18
Alexander Onischuk,2640,124,United,47,1663,36,49,15
Alexander Donchenko,2640,124,Germany,24,1780,43,36,21
Jon Ludvig Hammer,2638,127,Norway,32,1456,44,36,20
Jan Gustafsson,2638,127,Germany,43,1443,39,48,13
Krishnan Sasikiran,2638,126,India,42,2201,44,39,17
Vasif Durarbayli,2638,126,Azerbaijan,30,1324,45,31,24
Sergei Rublevsky,2637,130,Russia,48,1979,39,44,17
Zurab Azmaiparashvili,2637,130,Georgia,62,1484,38,44,18
Benjamin Gledura,2637,130,Hungary,23,964,41,38,21
Wojciech Moranda,2636,133,Poland,35,855,48,34,18
Kacper Piorun,2636,133,Poland,31,1587,45,35,20
Aleksandr Rakhmanov,2635,135,Russia,33,1893,41,40,19
Hrant Melkumyan,2634,138,Armenia,33,1772,47,32,21
Mustafa Yilmaz,2634,136,Turkey,30,1550,45,33,22
Ioannis Papaioannou,2634,136,Greece,47,803,40,46,14
Erwin l&#039;Ami,2634,136,Netherlands,,,,,
Pavel Ponkratov,2634,136,Russia,34,2228,49,29,22
Nijat Abasov,2633,141,Azerbaijan,27,1008,40,43,17
Luka Lenic,2633,141,Slovenia,35,1346,37,48,15
Alexander Motylev,2632,143,Russia,44,2271,39,45,16
Maxime Lagarde,2631,145,France,28,1329,52,29,19
Evgeny Bareev,2631,144,Canada,56,2128,37,41,22
Laurent Fressinet,2631,144,France,42,2677,40,43,17
Anton Kovalyov,2631,144,Canada,31,786,46,42,12
Tamir Nabaty,2631,144,Israel,32,1056,52,29,19
Bartosz Socko,2630,149,Poland,45,2732,44,38,18
Julio E Granda Zuniga,2630,149,Peru,56,2095,51,33,16
Javokhir Sindarov,2629,151,Uzbekistan,17,517,45,32,23
Thai Dai Van Nguyen,2629,151,Czech,22,886,32,46,22
Constantin Lupulescu,2628,153,Romania,38,1738,40,48,12
Konstantin Landa,2628,153,Russia,50,1913,41,45,14
Abhijeet Gupta,2627,155,India,33,1909,50,32,18
Ivan Popov,2627,155,Russia,33,1387,45,38,17
Alexander Riazantsev,2626,157,Russia,38,2283,39,42,19
Awonder Liang,2625,158,United,19,993,42,30,28
Samvel Ter-Sahakyan,2625,158,Armenia,29,1401,47,35,18
Loek van Wely,2624,160,Netherlands,50,4208,40,37,23
Vladislav Kovalev,2623,161,FIDE,29,2046,46,32,22
Lazaro Bruzon Batista,2623,161,United,40,2041,43,43,14
S P Sethuraman,2623,161,India,29,1737,48,29,23
Yaroslav Zherebukh,2623,161,United,30,958,45,32,23
Vladimir Akopian,2620,167,Armenia,51,2073,36,50,14
Yasser Seirawan,2620,166,United,62,1753,35,44,21
Nodirbek Yakubboev,2620,166,Uzbekistan,21,695,50,32,18
Cristobal Henriquez Villagra,2620,166,Chile,27,640,50,29,21
Aleksandar Indjic,2620,166,Serbia,27,1681,51,26,23
Viktor Laznicka,2620,165,Czech,35,1670,43,37,20
Evgeny Shtembuliak,2620,165,Ukraine,24,401,41,29,30
Farrukh Amonatov,2620,165,Tajikistan,45,1253,49,34,17
David Paravyan,2620,165,Russia,24,2009,46,29,25
Eduardo Iturrizaga Bonelli,2619,175,Spain,33,1760,50,35,15
Zhao Jun,2619,175,China,37,891,37,40,23
