id,ime_beli,ime_crni,rating_beli,rating_crni,rezultat,rating_spr,poteze,st_potez,leto,underdog,pravi_underdog
15792445,Magnus Carlsen,Levon Aronian,2862,2781,1,3.854986389914422,1. d4 Nf6 2. c4 e6 3. Nf3 d5,47,2021,0,0
15792479,Magnus Carlsen,Samuel Shankland,2862,2691,1,2.720284864558038,1. c4 c6 2. Qa4 Nf6 3. Nf3 g6,33,2021,0,0
15792523,Magnus Carlsen,Hikaru Nakamura,2862,2736,1,3.2622381211167784,1. d4 Nf6 2. c4 e6 3. Nf3 d5,33,2021,0,0
15792691,Magnus Carlsen,Daniil Dubov,2862,2710,1,2.942186402879975,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6,34,2021,0,0
15792743,Magnus Carlsen,Daniil Dubov,2862,2710,1,2.942186402879975,1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6,42,2021,0,0
15792875,Magnus Carlsen,Daniil Dubov,2862,2710,1,2.942186402879975,1. e4 c5 2. Nf3 Nc6 3. Bb5 g6,64,2021,0,0
15792881,Magnus Carlsen,Daniil Dubov,2862,2710,1,2.942186402879975,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6,28,2021,0,0
15792903,Magnus Carlsen,Maxime Vachier-Lagrave,2862,2784,1,3.895975779053109,1. d4 Nf6 2. c4 g6 3. Nc3 d5,50,2021,0,0
15792945,Magnus Carlsen,Maxime Vachier-Lagrave,2862,2784,1,3.895975779053109,1. Nf3 Nf6 2. c4 g6 3. Nc3 d5,39,2021,0,0
15792953,Magnus Carlsen,Maxime Vachier-Lagrave,2862,2784,1,3.895975779053109,1. d4 Nf6 2. c4 g6 3. Nc3 d5,40,2021,0,0
16025027,Magnus Carlsen,Maxime Vachier-Lagrave,2847,2758,1,3.7464860669246325,1. c3 b6 2. e4 Bb7 3. d3 e6,34,2021,0,0
16025091,Magnus Carlsen,David Anton Guijarro,2847,2673,1,2.6862214216061178,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6,85,2021,0,0
16025191,Magnus Carlsen,Shakhriyar Mamedyarov,2847,2770,1,3.9096739659576043,1. e4 c5 2. Nf3 e6 3. d4 cxd4,27,2021,0,0
16025245,Magnus Carlsen,Sergey Karjakin,2847,2757,1,3.7330091833326797,1. d4 Nf6 2. c4 e6 3. Nf3 d5,40,2021,0,0
16025387,Magnus Carlsen,Alan Pichot,2847,2630,1,2.2284689468527397,1. e4 c5 2. Nf3 e6 3. d4 cxd4,42,2021,0,0
16025549,Magnus Carlsen,Levon Aronian,2847,2781,1,4.061446147638222,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4,75,2021,0,0
16026975,Magnus Carlsen,Ian Nepomniachtchi,2847,2789,1,4.172981150357699,1. e4 c5 2. Nf3 d6 3. d4 cxd4,33,2021,0,0
16027023,Magnus Carlsen,Ian Nepomniachtchi,2847,2789,1,4.172981150357699,1. e4 c5 2. Nf3 d6 3. d4 cxd4,33,2021,0,0
16027203,Magnus Carlsen,Wesley So,2847,2770,1,3.9096739659576043,1. e4 e5 2. Nf3 Nf6 3. Nc3 Nc6,23,2021,0,0
16027205,Magnus Carlsen,Wesley So,2847,2770,1,3.9096739659576043,1. e4 e5 2. Nf3 Nf6 3. Nc3 Nc6,23,2021,0,0
16031449,Magnus Carlsen,Leinier Dominguez Perez,2847,2758,1,3.7464860669246325,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5,60,2021,0,0
16031779,Magnus Carlsen,Teimour Radjabov,2847,2765,1,3.8413589574624396,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4,41,2021,0,0
16032051,Magnus Carlsen,Gawain Jones,2847,2670,1,2.652429106834534,1. e4 c5 2. Nf3 d6 3. d4 cxd4,42,2021,0,0
16032193,Magnus Carlsen,Jan-Krzysztof Duda,2847,2729,1,3.3642590195870445,1. e4 c5 2. Nf3 d6 3. d4 cxd4,60,2021,0,0
16032287,Magnus Carlsen,Levon Aronian,2847,2781,1,4.061446147638222,1. d4 Nf6 2. c4 e6 3. Bf4 d5,46,2021,0,0
16032517,Magnus Carlsen,Levon Aronian,2847,2781,1,4.061446147638222,1. e4 c5 2. Nf3 d6 3. Bb5+ Nc6,37,2021,0,0
16032999,Magnus Carlsen,Hikaru Nakamura,2847,2736,1,3.45480005617534,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5,90,2021,0,0
16045708,Magnus Carlsen,Alexander Grischuk,2847,2776,1,3.9922175410998904,1. b3 e5 2. Bb2 Nc6 3. c4 Nf6,25,2021,0,0
16046652,Magnus Carlsen,Hikaru Nakamura,2886,2900,1,5.201367220358164,1. d4 Nf6 2. c4 e6 3. Nf3 d5,23,2021,1,0
16046780,Magnus Carlsen,Hikaru Nakamura,2881,2829,1,4.257197963454756,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5,31,2021,0,0
16046910,Magnus Carlsen,Hikaru Nakamura,2881,2829,1,4.257197963454756,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5,37,2021,0,0
16048816,Magnus Carlsen,Teimour Radjabov,2881,2758,1,3.300309860965168,1. e4 c5 2. Nf3 Nc6 3. Nc3 e5,52,2021,0,0
16051240,Magnus Carlsen,Teimour Radjabov,2881,2758,1,3.300309860965168,1. e4 b6 2. d4 Bb7 3. Bd3 e6,39,2021,0,0
16052740,Magnus Carlsen,Wesley So,2886,2816,1,4.006032032907432,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6,44,2021,0,0
16052748,Magnus Carlsen,Wesley So,2881,2741,1,3.08763847585237,1. d4 Nf6 2. c4 e6 3. Nf3 d5,39,2021,0,0
16066520,Magnus Carlsen,Hou Yifan,2881,2621,1,1.8292116580002582,1. d4 Nf6 2. c4 e6 3. Nf3 d5,37,2021,0,0
16066584,Magnus Carlsen,Peter Svidler,2881,2742,1,3.099937927196861,1. e4 c5 2. Nf3 d6 3. d4 cxd4,40,2021,0,0
16066870,Magnus Carlsen,Daniil Dubov,2881,2770,1,3.45480005617534,1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6,56,2021,0,0
16067544,Magnus Carlsen,Santosh Gujrathi Vidit,2881,2636,1,1.961814805753157,1. d4 Nf6 2. c4 e6 3. Nf3 d5,66,2021,0,0
16067808,Magnus Carlsen,Wesley So,2881,2741,1,3.08763847585237,1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6,33,2021,0,0
16068106,Magnus Carlsen,Wesley So,2881,2741,1,3.08763847585237,1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6,47,2021,0,0
16068626,Magnus Carlsen,Wesley So,2886,2816,1,4.006032032907432,1. c4 Nf6 2. Nc3 e5 3. Nf3 Nc6,49,2021,0,0
16069010,Magnus Carlsen,Ding Liren,2881,2836,1,4.3559950975957875,1. c4 Nf6 2. Nc3 e5 3. e3 Nc6,32,2021,0,0
16069622,Magnus Carlsen,Levon Aronian,2881,2778,1,3.5596614617770737,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4,64,2021,0,0
16069650,Magnus Carlsen,Levon Aronian,2881,2778,1,3.5596614617770737,1. d4 Nf6 2. Bf4 d5 3. e3 Bg4,66,2021,0,0
16070542,Magnus Carlsen,Ding Liren,2886,2788,1,3.6259162325551553,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6,38,2021,0,0
16078760,Magnus Carlsen,Sasa Martinovic,2847,2548,1,1.517189312872882,1. e4 c5 2. Nf3 d6 3. d4 cxd4,77,2021,0,0
16079016,Magnus Carlsen,Aryan Tari,2847,2639,1,2.3194799683241607,1. c4 e6 2. g3 d5 3. Bg2 dxc4,40,2021,0,0
16082720,Magnus Carlsen,Radoslaw Wojtaszek,2881,2729,1,2.942186402879975,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4,48,2021,0,0
16083908,Magnus Carlsen,Andrey Esipenko,2881,2628,1,1.890208418800522,1. d4 Nf6 2. c4 e6 3. Nf3 d5,31,2021,0,0
